--- TRADE SIMULATION RESULTS (M1 VERIFIED) ---
Period: 2024-01-01 to Present
Initial Equity: $1000.00
Threshold: 95.0%
Risk per trade: 1.0%
-------------------------------------------------------------------------------------
Entry Time                Exit Time                 Type     Status       Equity         
2026-01-13 16:45:00       2026-01-13 17:03:00       SELL     TP           $779418750309700730880.00
2026-01-13 19:00:00       2026-01-13 19:58:00       SELL     TP           $795007125315894771712.00
2026-01-13 20:30:00       2026-01-13 20:31:00       SELL     TP           $810907267822212612096.00
2026-01-13 20:45:00       2026-01-13 22:34:00       SELL     TP           $827125413178656817152.00
2026-01-14 16:00:00       2026-01-14 16:38:00       SELL     TP           $843667921442229977088.00
2026-01-14 18:15:00       2026-01-14 18:47:00       SELL     TP           $860541279871074566144.00
2026-01-14 19:30:00       2026-01-14 19:57:00       BUY      TP           $877752105468496052224.00
2026-01-14 20:30:00       2026-01-14 20:52:00       SELL     SL           $868974584413811113984.00
2026-01-15 01:00:00       2026-01-15 05:27:00       SELL     TP           $886354076102087278592.00
2026-01-15 05:30:00       2026-01-15 05:31:00       SELL     TP           $904081157624128995328.00
2026-01-15 06:00:00       2026-01-15 06:03:00       SELL     TP           $922162780776611577856.00
2026-01-15 06:15:00       2026-01-15 07:16:00       SELL     TP           $940606036392143749120.00
2026-01-16 03:15:00       2026-01-16 03:16:00       SELL     TP           $959418157119986597888.00
2026-01-16 03:30:00       2026-01-16 04:34:00       SELL     TP           $978606520262386384896.00
2026-01-16 09:00:00       2026-01-16 09:01:00       SELL     TP           $998178650667634130944.00
2026-01-16 15:15:00       2026-01-16 15:35:00       BUY      TP           $1018142223680986808320.00
2026-01-16 16:00:00       2026-01-16 16:01:00       SELL     TP           $1038505068154606583808.00
2026-01-16 16:15:00       2026-01-16 16:36:00       SELL     SL           $1028120017473060470784.00
2026-01-16 16:45:00       2026-01-16 17:05:00       SELL     SL           $1017838817298329894912.00
2026-01-16 17:30:00       2026-01-16 18:42:00       BUY      TP           $1038195593644296503296.00
2026-01-16 18:45:00       2026-01-19 01:00:00       SELL     SL           $1027813637707853594624.00
2026-01-19 01:15:00       2026-01-19 01:16:00       SELL     TP           $1048369910462010621952.00
2026-01-19 01:30:00       2026-01-19 13:29:00       SELL     TIMEOUT_SL   $1037886211357390536704.00
2026-01-20 03:30:00       2026-01-20 05:40:00       SELL     SL           $1027507349243816574976.00
2026-01-21 03:15:00       2026-01-21 03:16:00       SELL     TP           $1048057496228692885504.00
2026-01-21 03:45:00       2026-01-21 05:04:00       SELL     SL           $1037576921266405900288.00
2026-01-21 06:30:00       2026-01-21 06:31:00       SELL     TP           $1058328459691734073344.00
2026-01-21 06:45:00       2026-01-21 07:18:00       SELL     SL           $1047745175094816669696.00
2026-01-21 07:30:00       2026-01-21 08:25:00       SELL     SL           $1037267723343868461056.00
2026-01-21 18:00:00       2026-01-21 18:52:00       SELL     TP           $1058013077810745835520.00
2026-01-21 21:15:00       2026-01-22 10:14:00       SELL     TIMEOUT_SL   $1047432947032638357504.00
2026-01-22 15:45:00       2026-01-22 15:46:00       SELL     TP           $1068381605973291171840.00
2026-01-22 16:30:00       2026-01-22 16:31:00       SELL     TP           $1089749238092756942848.00
2026-01-22 17:45:00       2026-01-22 17:46:00       SELL     TP           $1111544222854612123648.00
2026-01-22 18:00:00       2026-01-22 18:19:00       SELL     SL           $1100428780626066014208.00
2026-01-22 18:30:00       2026-01-22 19:22:00       SELL     SL           $1089424492819805372416.00
2026-01-22 19:30:00       2026-01-22 19:31:00       SELL     TP           $1111212982676201537536.00
2026-01-22 19:45:00       2026-01-22 20:03:00       SELL     SL           $1100100852849439539200.00
2026-01-22 20:15:00       2026-01-22 20:49:00       SELL     SL           $1089099844320945111040.00
2026-01-22 21:00:00       2026-01-22 21:01:00       SELL     TP           $1110881841207364026368.00
2026-01-22 21:15:00       2026-01-22 22:15:00       SELL     SL           $1099773022795290378240.00
2026-01-23 01:00:00       2026-01-23 02:02:00       SELL     SL           $1088775292567337435136.00
2026-01-23 02:15:00       2026-01-23 02:55:00       SELL     SL           $1077887539641664012288.00
2026-01-23 03:30:00       2026-01-23 03:47:00       SELL     SL           $1067108664245247410176.00
2026-01-23 04:30:00       2026-01-23 04:46:00       SELL     SL           $1056437577602794913792.00
